region,school,school_quality_indicator_sub_area,additional_school_quality_indicator_sub_area,organization,service_provided,service_type,date_collected,point_of_contact ,,,,
2,Allendale Elementary,Health & Wellness,,OUSD,Nurse 0.4 FTE,Health Services,11/01/2011,,,,,
2,Allendale Elementary,School Culture,,Higher Ground Neighborhood Development Corporation,Behavioral Intervention,Behavioral Intervention,11/01/2011,,,,,
2,Allendale Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
2,Allendale Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:00am-3:30pm,Early Childhood Education,11/11/2011,,,,,
,Alliance Academy,Accelerating Students through Targeted Approaches,,180,Mentoring,Mentoring,06/13/2013,elena Loera,,,,
Transformation,Alliance Academy,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/01/2011,Marisa Ramirez,,,,
Transformation,Alliance Academy,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Oakland Public Conservatory of Music,After School Music,After School Arts Enrichment,11/11/2011,,,,,
Transformation,Alliance Academy,Extended Learning Time,,East Side Arts Alliance,After school art: Graffiti,After School Arts Enrichment,06/13/2013,,,,,
Transformation,Alliance Academy,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/11/2011,,,,,
Transformation,Alliance Academy,Extended Learning Time,,Pro Arts,After School Art,After School Arts Enrichment,06/13/2013,,,,,
Transformation,Alliance Academy,Extended Learning Time,,Destiny Arts,After School Enrichment: Dance,After School Arts Enrichment,06/13/2013,,,,,
Transformation,Alliance Academy,Extended Learning Time,,LifeLong Medical Care,Leadership and Gardening,After School Enrichment,06/13/2013,Lamont Snaer ,,,,
Transformation,Alliance Academy,Extended Learning Time,,EOYDC,After School Enrichment: Martial Arts,After School Enrichment,06/13/2013,,,,,
Transformation,Alliance Academy,Health & Wellness,,Alameda County Our Kids Program,Our Kids Mental Health Services,Mental Health Services,11/11/2011,Alison McKenzie,,,,
Transformation,Alliance Academy,Health & Wellness,,LifeLong Medical Care,School Based Health Center (SBHC) Elmhurst Campus,School Based Health Center/Health Services,11/11/2011,Lamont Snaer ,,,,
Transformation,Alliance Academy,Health & Wellness,,Catholic Charities,Mental Health Services,Mental Health Services,06/13/2013,Cindy Hill-Ford (?),,,,
Transformation,Alliance Academy,Health & Wellness,,Seneca Center,Mental Health Services,Mental Health Services,11/11/2011,Emily Marsh ,,,,
Transformation,Alliance Academy,Health & Wellness,,OUSD-TUPE,"Alcohol, Tobacco and Drug Prevention ",Drug and alcohol prevention,06/13/2013,Robert Dousa,,,,
Transformation,Alliance Academy,Health & Wellness,,La Clinica de la Raza,Sex Education ,sex education,06/13/2013,Gustavo Madrigal ,,,,
Transformation,Alliance Academy,Health & Wellness,,Dating Matters,Healthy Relationships,Healthy Relationships,06/13/2013,Caroline Miller ,,,,
Transformation,Alliance Academy,Health & Wellness,,Alameda County: Making Proud Choices,Sex Education ,sex education,06/13/2013,Ysela Jimenez ,,,,
Transformation,Alliance Academy,School Culture,,Girl Scouts,After School Self-Esteem Group,After School Girl Group,11/01/2011,,,,,
Transformation,Alliance Academy,School Culture,,OUSD,Restorative Justice Program,Restorative Justice,11/11/2011,"Ashlee George, David Yusem",,,,
Transformation,Alliance Academy,School Culture,,Safe Passages,Extended Learning & Family Engagement & School Climate/Violence Prevention,Violence Prevention,11/11/2011,Demetrie Broxton,,,,
Transformation,Alliance Academy,School Culture,,Oakland Police Department: OK Program,Safety/Mentoring,Mentoring,06/13/2013,"Marc Oliver, W. Earl Seay, Erich Cumby",,,,
Transformation,Alliance Academy,School Culture,,Youth Alive: Teens on Target,School Climate/Violence Prevention,Violence prevention,06/13/2013,Demetrie Huntsman,,,,
Transformation,Alliance Academy,"Science, Technology, Engineering & Mathematics (STEM)",,Teach Bar,Academic supprot/tutoring,Academic support,06/13/2013,Ben Wanzo,,,,
Transformation,Alliance Academy,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,"Girls, Inc.",After School operation smart program youth leadership and science based,After School Girl Group,11/01/2011,,,,,
Transformation,Alliance Academy,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
Transformation,Alliance Academy,Transitions & Pathways PreK-12,,Safe Passages,6th and 8th Grade Transitions/Mentoring,Transition Program,06/13/2013,Demetrie Broxton,,,,
2,Ascend Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
2,Ascend Elementary,Extended Learning Time,,Oakland Leaf,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Ascend Elementary,Extended Learning Time,,Oakland Leaf (funded through OFCY),Summer Program,Summer Prep Program,11/11/2011,,,,,
2,Ascend Elementary,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/11/2011,,,,,
2,Ascend Elementary,Family & Community Engagement,,Oakland Leaf,Family Resource Center,Family Resource Center,11/01/2011,,,,,
2,Ascend Elementary,Family & Community Engagement,,Oakland Schools Foundation ,Family Engagement and Leadership Initiative (FamELI),Family Resource Center,11/01/2011,,,,,
2,Ascend Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/01/2011,,,,,
2,Ascend Elementary,Health & Wellness,,La Clinica de la Raza,Mental Health Services,Mental Health Services,11/01/2011,,,,,
2,Ascend Elementary,Health & Wellness,,Oakland Leaf,Community Garden,Garden,11/01/2011,,,,,
2,Ascend Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
High School,Barack Obama Academy,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
High School,Barack Obama Academy,Extended Learning Time,,YMCA of the East Bay,After School Program,After School Program,11/11/2011,,,,,
High School,Barack Obama Academy,Health & Wellness,,New Bridge Foundation ,Drug/alcohol treatment,Substance Abuse Treatment,11/01/2011,,,,,
High School,Barack Obama Academy,Health & Wellness,,Seneca Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
High School,Barack Obama Academy,School Culture,,California Youth Outreach (CYO),Gang Intervention,Violence Prevention,11/11/2011,,,,,
High School,Barack Obama Academy,School Culture,,OUSD,Positive Behavior Intervention Support (PBIS),Positive Behavior Interventions & Supports (PBIS),11/11/2011,,,,,
2,Bella Vista Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
2,Bella Vista Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:00am-4:30pm,Early Childhood Education,11/11/2011,,,,,
2,Bella Vista Elementary ,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Bella Vista Elementary ,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),Summer Enrichment,Summer Prep Program,11/11/2011,,,,,
2,Bella Vista Elementary ,Health & Wellness,,Community Health for Asian Americans,Mental Health Services,Mental Health Services,11/11/2011,,,,,
2,Bella Vista Elementary ,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
2,Bret Harte Middle School,"Science, Technology, Engineering & Mathematics (STEM)",Building Capacity & Leadership,OUSD,Secondary math inquiry cohort,Science and Math Education,03/01/2013,Phil Tucher,,,,
2,Bret Harte Middle School,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,Joe Whittaker,,,,
2,Bret Harte Middle School,Health & Wellness,,Alameda County Our Kids Program,Our Kids Mental Health Services,Mental Health Services,11/11/2011,Alison McKenzie,,,,
2,Bret Harte Middle School,Health & Wellness,,BACR,Gardening after school,After School Gardening,03/01/2013,Marisa Ramirez,,,,
2,Bret Harte Middle School,Balanced Literacy & Literacy Across the Curriculum,"Science, Technology, Engineering & Mathematics (STEM)",Bay Area Community Resources (BACR),After school tutorial support,After School Program,03/20/2013,Marisa Ramirez,,,,
2,Bret Harte Middle School,Extended Learning Time,,Bay Area Community Resources (BACR),Comprehensive afterschool program,After School Program,03/01/2013,Marisa Ramirez,,,,
2,Bret Harte Middle School,Accelerating Students through Targeted Approaches,,Boys & Men of Color Program (through CTA),"Mentorship, field trips, guidance",Mentoring,03/01/2013,Keith Brown/Mr. Thrasher,,,,
2,Bret Harte Middle School,Transitions & Pathways PreK-12,,Bret Harte / Skyline Bridges Program (OFCY via BACR),Mentoring program for rising 6th and 9th graders,Mentoring,03/01/2013,Geri Murphy,,,,
2,Bret Harte Middle School,Family & Community Engagement,,Elena Loera,Family Resource Center,Family Engagement,03/01/2013,Elena Loera,,,,
2,Bret Harte Middle School,Health & Wellness,,Fred Finch Youth Services,Mental Health Services,Mental Health Services,11/11/2011,Melissa Cesario,,,,
2,Bret Harte Middle School,"College, Career & Workforce",,Kuder Navigator,College/career awareness curriculum,College and Career Prep,03/01/2013,Diana Kampa,,,,
2,Bret Harte Middle School,Strategic Opperational Practices,,Momo Fundraising,School-wide fundraiser,Funding,03/01/2013,Jess Stullman,,,,
2,Bret Harte Middle School,School Culture,,OUSD,Resorative justice program - peer mediation program,Violence Prevention,11/11/2011,David Yusem,,,,
2,Bret Harte Middle School,Health & Wellness,,OUSD,Salad bar,Salad Bar,03/01/2013,Jennifer LeBarre,,,,
2,Bret Harte Middle School,Building Capacity & Leadership,,OUSD,Site-based literacy coach,Professional Development,03/01/2013,Sarah Breed,,,,
2,Bret Harte Middle School,Extended Learning Time,,OUSD,Summer ESY Classes,Summer Prep Program,11/11/2011,Megan Dunn,,,,
2,Bridges at Melrose Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,ALICE Arts and Literacy in Children's Education,After School Visual and Performing Arts,After School Arts Enrichment,11/01/2011,,,,,
2,Bridges at Melrose Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
2,Bridges at Melrose Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Cantare Con Vivo,After School Singing,After School Arts Enrichment,11/01/2011,,,,,
2,Bridges at Melrose Elementary,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/11/2011,,,,,
2,Bridges at Melrose Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
2,Bridges at Melrose Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/01/2011,,,,,
2,Bridges at Melrose Elementary,Health & Wellness,,OUSD,School Psychologist,Mental Health Services,11/11/2011,,,,,
2,Bridges at Melrose Elementary,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/11/2011,,,,,
2,Bridges at Melrose Elementary,School Culture,,OUSD ,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
2,Bridges at Melrose Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
2,Bridges at Melrose Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:30am-3:00pm,Early Childhood Education,11/01/2011,,,,,
3,Brookfield Elementary,Extended Learning Time,,Higher Ground Neighborhood Development Corporation,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Brookfield Elementary,Health & Wellness,,Ann Martin Children's Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
3,Brookfield Elementary,Health & Wellness,,OUSD,2 Wellness Champions,Coordinated School Health/Nutrition,11/11/2011,,,,,
3,Brookfield Elementary,Health & Wellness,,OUSD,Nurse 0.6 FTE,Health Services,11/11/2011,,,,,
3,Brookfield Elementary,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/11/2011,,,,,
3,Brookfield Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
3,Brookfield Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:30am - 3:00pm,Early Childhood Education,11/01/2011,,,,,
High School,Bunche Continuation Academy,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
High School,Bunche Continuation Academy,"College, Career & Workforce",,Alameda County Public Health Department,Student interns,Internships,11/01/2011,,,,,
High School,Bunche Continuation Academy,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
High School,Bunche Continuation Academy,Extended Learning Time,,OUSD,Summer learning program academic support for students,Summer Prep Program,11/11/2011,,,,,
High School,Bunche Continuation Academy,Family & Community Engagement,,?,Parent Liaison,Parent Liaison,11/11/2011,,,,,
High School,Bunche Continuation Academy,Health & Wellness,,ASPIRE New Bridge Foundation ,Drug/Alcohol counseling,Health Services,11/11/2011,,,,,
High School,Bunche Continuation Academy,Health & Wellness,,East Bay Agency for Children,Mental Health Counseling,Mental Health Services,11/11/2011,,,,,
High School,Bunche Continuation Academy,School Culture,,California Youth Outreach (CYO),Gang Intervention,Violence Prevention,11/01/2011,,,,,
High School,Bunche Continuation Academy,School Culture,Building Capacity & Leadership,LEAD South Africa,Teacher Internship,School Culture,11/11/2011,,,,,
High School,Bunche Continuation Academy,School Culture,,Restorative Justice for Oakland Youth (RJOY),Conflict mediation/restorative discipline,Restorative Justice,11/11/2011,,,,,
3,Burckhalter Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/01/2011,,,,,
3,Burckhalter Elementary,Extended Learning Time,Transitions & Pathways PreK-12,OUSD," Summer Prep Program, Summer Pre - K Camp, Hosting Lakeview, ESY Classes",Summer Prep Program,11/01/2011,,,,,
3,Burckhalter Elementary,Extended Learning Time,,Ujimaa Foundation,After School Lead Program OUSD,After School Program,11/01/2011,,,,,
3,Burckhalter Elementary,Health & Wellness,,East Bay Asian Youth Center (EBAYC),Produce Market,Farmers Market,11/11/2011,,,,,
3,Burckhalter Elementary,Health & Wellness,,Oakland Parks & Recreation (OPR),Physical & Recreational Activity,Physical & Recreational Activity,11/01/2011,,,,,
3,Burckhalter Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/01/2011,,,,,
Transformation,"Business, Information & Tech HS (CBITS)",Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,"Business, Information & Tech HS (CBITS)","College, Career & Workforce",,Mills Educational Talent Search Program (METS),Academic and College Advising,College Advising,11/11/2011,,,,,
Transformation,"Business, Information & Tech HS (CBITS)",Family & Community Engagement,,OUSD,"Migrant Education Parent Workshops (academic, health, other depending on need)",Parent Workshops,11/11/2011,,,,,
Transformation,"Business, Information & Tech HS (CBITS)",Health & Wellness,,Children's Hospital,Mental Health Services,Mental Health Services,11/11/2011,,,,,
Transformation,"Business, Information & Tech HS (CBITS)",School Culture,,Restorative Justice for Oakland Youth (RJOY),Restorative Justice Program,Restorative Justice,11/11/2011,,,,,
3,Carl B. Munck Elementary,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Carl B. Munck Elementary,Health & Wellness,,Heritage Foundation West,"Gardening, Art, Yoga",Garden/Physical & Recreational Activity/Arts Enrichment,11/11/2011,,,,,
3,Carl B. Munck Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/11/2011,,,,,
3,Carl B. Munck Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
3,Carl B. Munck Elementary,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,"Girls, Inc.",After School operation smart program youth leadership and science based,After School Girl Group,11/11/2011,,,,,
Transformation,Castlemont Community of Small Schools,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,Castlemont Community of Small Schools,"College, Career & Workforce",,Mills Educational Talent Search Program (METS),Academic and College Advising,College Advising,11/11/2011,,,,,
Transformation,Castlemont Community of Small Schools,Extended Learning Time,Transitions & Pathways PreK-12,OUSD,Castlemont STEP UP Summer Bridge: Rising 9th Graders receive transition support; Summer Prep Program,Summer Prep Program,11/01/2011,,,,,
Transformation,Castlemont Community of Small Schools,Health & Wellness,,Children's Hospital & Research Center Oakland (CHRCO),Mental Health Services,Mental Health Services,11/01/2011,,,,,
Transformation,Castlemont Community of Small Schools,Health & Wellness,,Children's Hospital & Research Center Oakland (CHRCO),School Based Health Center (SBHC) Youth Uprising Health Center,School Based Health Center/Health Services,11/11/2011,,,,,
Transformation,Castlemont Community of Small Schools,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
Transformation,Castlemont Community of Small Schools,Health & Wellness,,OUSD,Nurse 0.6 FTE,Health Services,11/01/2011,,,,,
Transformation,Castlemont Community of Small Schools,School Culture,,One Land One People,One Land One People Youth and Family Resource Center services to increase multiracial understanding and youth-parent engagement,Youth Center,11/11/2011,,,,,
Transformation,Castlemont Community of Small Schools,School Culture,,Restorative Justice for Oakland Youth (RJOY),Restorative Justice Program,Restorative Justice,11/01/2011,,,,,
Transformation,Castlemont Community of Small Schools,Transitions & Pathways PreK-12,,OUSD,Castlemont Intervention: Rising 10th graders receive academic support,Academic Support,11/01/2011,,,,,
1,Chabot Elementary,Building Capacity & Leadership,,Cooperative Adventures,Professional Development with teachers,Professional Development,11/01/2011,,,,,
1,Chabot Elementary,Extended Learning Time,,OUSD,"Summer Prep Program (Host school for 7 sites), ESY classes",Summer Prep Program,11/11/2011,,,,,
1,Chabot Elementary,Extended Learning Time,Accelerating Students through Targeted Approaches,Steps Up,One-on-one tutoring to close achievement gap,Academic Support,11/11/2011,,,,,
1,Chabot Elementary,Family & Community Engagement,,Family Coalition,?,Family Engagement,11/11/2011,,,,,
1,Chabot Elementary,Health & Wellness,,OUSD,"Hearing and vision for K, 2, and 5",Health Services,11/11/2011,,,,,
1,Chabot Elementary,Health & Wellness,,OUSD,Nurse 0.6 FTE,Health Services,11/11/2011,,,,,
1,Chabot Elementary,Health & Wellness,,OUSD,School Psychologist 2-3 days per week ,Mental Health Services,11/11/2011,,,,,
1,Chabot Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/11/2011,,,,,
1,Chabot Elementary,Health & Wellness,Family & Community Engagement,PTA,"5th grade Girls Group (exercise, hygiene)",Physical & Recreational Activity,11/11/2011,,,,,
1,Chabot Elementary,Health & Wellness,,PTA,Garden ,Garden,11/11/2011,,,,,
1,Chabot Elementary,Health & Wellness,,Yard Maintenance,Recreational Recess,Physical & Recreational Activity,11/11/2011,,,,,
1,Chabot Elementary,School Culture,Accelerating Students through Targeted Approaches,?,Boys Group ,Boys Group,11/01/2011,,,,,
1,Chabot Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
1,Chabot Elementary,School Culture,Health & Wellness,TransForm,Safe Routes To Schools,Violence Prevention/Physical Activity,11/11/2011,,,,,
1,Chabot Elementary,"Science, Technology, Engineering & Mathematics (STEM)","College, Career & Workforce","Lawrence Hall of Science, UC Berkeley",Science Education,Science Education/Career Prep,11/01/2011,,,,,
1,Chabot Elementary,Transitions & Pathways PreK-12,,Adventure Time,Extended Day Care Center,Early Childhood Education,11/01/2011,,,,,
1,Chabot Elementary,Transitions & Pathways PreK-12,School Culture,Claremont ,Claremont 6th graders come to help out ,Academic Support,11/01/2011,,,,,
1,Chabot Elementary,Transitions & Pathways PreK-12,School Culture,College Prep School,Volunteer students work with students,Academic Support,11/01/2011,,,,,
1,Chabot Elementary,Transitions & Pathways PreK-12,,PTA,PreK (1 scholarship per class per family),Early Childhood Education,11/11/2011,,,,,
1,Claremont Middle School,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
1,Claremont Middle School,"College, Career & Workforce",Extended Learning Time,YEAH at UC Berkeley,YEAH After School Business Club Tues and Thurs 3:30-5:30pm,After School Enrichment,11/01/2011,,,,,
1,Claremont Middle School,Extended Learning Time,,?,Saturday School ,Saturday School,11/11/2011,,,,,
1,Claremont Middle School,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,"Art Esteem, The Attitudinal Healing Connection of Oakland","After School visual arts, fashion design, drumming, capoeira",After School Arts Enrichment,11/11/2011,,,,,
1,Claremont Middle School,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,"Art Esteem, The Attitudinal Healing Connection of Oakland (AHC)",After school fashion-design class,After School Enrichment,11/11/2011,,,,,
1,Claremont Middle School,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
1,Claremont Middle School,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/01/2011,,,,,
1,Claremont Middle School,Extended Learning Time,,OUSD," Summer Prep Program, Algebra Academy",Summer Prep Program,11/11/2011,,,,,
1,Claremont Middle School,Health & Wellness,,?,Wrestling Program,Physical & Recreational Activity,11/11/2011,,,,,
1,Claremont Middle School,Health & Wellness,,Alameda County Our Kids Program,Our Kids Mental Health Services,Mental Health Services,11/11/2011,,,,,
1,Claremont Middle School,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
1,Claremont Middle School,Health & Wellness,,Families With Connection,Gardening and Cooking Class,Garden,11/11/2011,,,,,
1,Claremont Middle School,Health & Wellness,,Oakland Parks & Recreation (OPR),"Football, Volleyball, Basketball",Physical & Recreational Activity,11/11/2011,,,,,
1,Claremont Middle School,Health & Wellness,,OUSD,Nurse 0.6 FTE,Health Services,11/11/2011,,,,,
1,Claremont Middle School,Health & Wellness,Extended Learning Time,The Familyhood Connection (Mo Better Foods),After School Gardening,After School Gardening,11/11/2011,,,,,
1,Claremont Middle School,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
1,Claremont Middle School,School Culture,,OUSD,Positive Behavior Intervention Support (PBIS),Positive Behavior Interventions & Supports (PBIS),11/11/2011,,,,,
1,Claremont Middle School,School Culture,,OUSD,Restorative Justice Program,Restorative Justice,11/11/2011,,,,,
1,Claremont Middle School,School Culture,Transitions & Pathways PreK-12,Safe Passages,Transitions program for 8th graders,Transition Program,11/11/2011,,,,,
1,Claremont Middle School,Strategic Operational Practices,,PTA,"Computer fundraising, events, electives",Funding,11/11/2011,,,,,
1,Cleveland Elementary,Extended Learning Time,,Bay Area Community Resources (BACR) & OASES,After School AmeriCorps Members,After School Academic Support,11/01/2011,,,,,
1,Cleveland Elementary,Extended Learning Time,,Oakland Asian Students Educational Services (OASES),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
1,Cleveland Elementary,Family & Community Engagement,,Action Alliance For Children & OASES,"After School Make available articles relating to policy, parenting skills, etc. to parents",Parent Workshops,11/01/2011,,,,,
1,Cleveland Elementary,Health & Wellness,,Asian Community Mental Health Services & OASES,After School Mental Health Services – through group “enrichment” workshop and parent workshops on stress management,Mental Health Services,11/01/2011,,,,,
1,Cleveland Elementary,Health & Wellness,,Center for Eco Literacy,Garden/Eco Program,Garden,11/01/2011,,,,,
1,Cleveland Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
